variant,p,d,q,P,D,Q,m,aic,bic,llf,fit_seconds,ok,error
no_exog,4,1,1,2,1,1,7,19057.36815859344,19107.176213529907,-9519.68407929672,6.348321199417114,True,
no_exog,4,1,1,2,1,2,7,19058.021586387396,19113.363869650137,-9519.010793193698,4.630089998245239,True,
no_exog,4,1,2,0,1,0,7,20206.373640758822,20245.165422457998,-10096.186820379411,1.8313989639282227,True,
no_exog,4,1,2,0,1,1,7,19434.81291454134,19479.12087453665,-9709.40645727067,3.9315240383148193,True,
no_exog,4,1,2,0,1,2,7,19360.916654203735,19410.729518117074,-9671.458327101867,7.844524145126343,True,
no_exog,4,1,2,1,1,0,7,19797.57190396411,19841.875605242258,-9890.785951982056,3.4094762802124023,True,
no_exog,4,1,2,1,1,1,7,19307.321980601904,19357.163644539818,-9644.660990300952,5.832118034362793,True,
no_exog,4,1,2,1,1,2,7,19381.216847045667,19436.564473616043,-9680.608423522834,8.553182363510132,True,
no_exog,4,1,2,2,1,0,7,19597.115297177643,19646.92335211411,-9789.557648588821,8.054184913635254,True,
no_exog,4,1,2,2,1,1,7,19535.56777762265,19590.91006088539,-9757.783888811326,9.744354248046875,True,
no_exog,4,1,2,2,1,2,7,19379.008075248166,19439.884586837183,-9678.504037624083,9.054059982299805,True,
no_exog,4,1,3,0,1,0,7,20207.710463692485,20252.04392849154,-10095.855231846243,1.5681219100952148,True,
no_exog,4,1,3,0,1,1,7,19369.57536658155,19419.417030519464,-9675.787683290775,4.550445079803467,True,
no_exog,4,1,3,0,1,2,7,19372.356037720485,19427.698320983225,-9676.178018860242,8.06789493560791,True,
no_exog,4,1,3,1,1,0,7,19795.398784876452,19845.240448814366,-9888.699392438226,3.498548984527588,True,
no_exog,4,1,3,1,1,1,7,19402.96965990059,19458.349286498273,-9691.484829950296,4.933091878890991,True,
no_exog,4,1,3,1,1,2,7,19265.110264076975,19325.98677566599,-9621.555132038487,9.319885969161987,True,
no_exog,4,1,3,2,1,0,7,19593.681257625267,19649.023540888007,-9786.840628812633,8.896746158599854,True,
no_exog,4,1,3,2,1,1,7,19324.940547203398,19385.817058792414,-9651.470273601699,8.110852003097534,True,
no_exog,4,1,3,2,1,2,7,19308.252079439524,19374.662819354813,-9642.126039719762,9.796923875808716,True,
no_exog,4,1,4,0,1,0,7,20078.852036253702,20128.722408349928,-10030.426018126851,2.640004873275757,True,
no_exog,4,1,4,0,1,1,7,19191.60088562847,19246.975185994335,-9585.800442814236,4.96251106262207,True,
no_exog,4,1,4,0,1,2,7,19129.675821008597,19190.546451816932,-9553.837910504299,10.0123291015625,True,
no_exog,4,1,4,1,1,0,7,19733.054984381335,19788.434610979017,-9856.527492190668,4.754069089889526,True,
no_exog,4,1,4,1,1,1,7,19126.832306980585,19187.744037383036,-9552.416153490292,5.234615087509155,True,
no_exog,4,1,4,1,1,2,7,19069.25065249428,19135.654977012462,-9522.62532624714,12.374197006225586,True,
no_exog,4,1,4,2,1,0,7,19458.8750984296,19519.751610018615,-9718.4375492148,10.099779844284058,True,
no_exog,4,1,4,2,1,1,7,19220.050269268417,19286.461009183706,-9598.025134634208,9.473855018615723,True,
no_exog,4,1,4,2,1,2,7,19061.20146359026,19133.139481818293,-9517.60073179513,11.492959976196289,True,
exog,0,1,0,0,1,0,7,21543.63669704709,21565.809790433912,-10767.818348523546,0.41498422622680664,True,
exog,0,1,0,0,1,1,7,20332.03297065883,20359.730764805336,-10161.016485329415,0.7559199333190918,True,
exog,0,1,0,0,1,2,7,20259.217847408454,20292.432830185244,-10123.608923704227,2.071822166442871,True,
exog,0,1,0,1,1,0,7,20981.729768121593,21009.43021972232,-10485.864884060797,0.4498889446258545,True,
exog,0,1,0,1,1,1,7,20330.726972095017,20363.964325070825,-10159.363486047509,1.0550448894500732,True,
exog,0,1,0,1,1,2,7,20260.808026164865,20299.558839404453,-10123.404013082432,3.350924015045166,True,
exog,0,1,0,2,1,0,7,20678.0155814998,20711.233765130226,-10333.0077907499,0.4242591857910156,True,
exog,0,1,0,2,1,1,7,20270.8413421464,20309.59588971523,-10128.4206710732,2.2687039375305176,True,
